name,sample_text,lang_code,asjp-name,wals_family,ethnologue_family,glottolog_family,asjp_num,latitude,longitude,num_speakers,wals_code,iso_code,country,continent,top_level_family,manual_edit,wikipedia_link,ethnologue_link
Arabela,"Pueyano pa quishacari, 
puetunu pajaniyajanaa mariyata miishiya maninia, maja sooshiya tamonu. 
Puetunu pueyajanaari niishitiajaraca, jiuujiaaracanio pueyacua pa 
taraajenura. Naarate maninia pa jiyanootioore juhua pa tapueyocuaca.",arl,ARABELA,Zap.ZAPAROAN,"Zaparoan,Zaparo,Arabela-Andoa","Zaparoan,Iquito-Arabela,Arabela-Andoa}",1,-2,-75.17,50,arb,arl,PER,South America,Zaparoan,,Arabela_language,
"Arabic, Standard",يولد جميع الناس أحرارًا متساوين في الكرامة والحقوق. وقد وهبوا عقلاً وضميرًا وعليهم أن يعامل بعضهم بعضًا بروح الإخاء.,ar,,,,,,,,270000000,,,,Asia,Afro-Asiatic,y,Arabic,
Armenian,"Բոլոր մարդիկ ծնվում են 
ազատ ու հավասար իրենց արժանապատվությամբ ու իրավունքներով։ Նրանք ունեն 
բանականություն ու խիղճ և միմյանց պետք է եղբայրաբար վերաբերվեն։",hy,ARMENIAN,IE.ARMENIAN,"Indo-European,Armenian","Indo-European,ClassicalIndo-European,Armenic,Eastern-WesternArmenian}",2,40,45,3849000,arm,hye,ARM,Asia,Indo-European,,Armenian_language,
Awa-Cuaiquer,,kwi,AWA_PIT,Bar.BARBACOAN,"Barbacoan,Northern","Barbacoan,UnclassifiedBarbacoan}",2,1.5,-78.25,14100,awp,kwi,COL,South America,Barbacoan,,Awa-Cuaiquer_language,
"Aymara, Central","Taqpach jaqejh khuskat 
uñjatatäpjhewa munañapansa, lurañapansa, amuyasiñapansa, ukatwa jilani 
sullkanípjhaspas ukham uñjasipjhañapawa.",ay,,,,,,,,1000000,,,,South America,Aymaran,y,Aymara_language,
"Azerbaijani, North (Cyrillic)","Бүтүн инсанлар  
ләјагәт вә һүгугларына ҝөрә азад вә бәрабәр доғулурлар. Онларын шүурлары
 вә виҹданлары вар вә бир-бирләринә мүнасибәтдә гардашлыг руһунда 
давранмалыдырлар.",az-Cyrl,,,,,,,,24000000,,,,Asia,Turkic,y,Azerbaijani_language,
"Azerbaijani, North (Latin)","Bütün insanlar 
ləyaqət və hüquqlarına görə azad və bərabər doğulurlar. Onların şüurları
 və vicdanları var və bir-birlərinə münasibətdə qardaşlıq ruhunda 
davranmalıdırlar.",az-Latn,,,,,,,,24000000,,,,Asia,Turkic,y,Azerbaijani_language,
"Azerbaijani, South","Tüm insanlar hür 
döğarlar, hak ve onur bakımından eşit döğarlar, onlar akıl ve 
vicdana sahiptirler ve birbirlerine karşı kardeşlik ruhu içinde 
davranmalılar.",azb,AZERBAIJANI_SOUTHERN,Alt.TURKIC,"Turkic,Southern,Azerbaijani","Turkic,CommonTurkic,Oghuz,NuclearOghuz,CentralOghuz,ModernAzeric}",1,37.5,47,14640650,azi,azb,IRN,Asia,Turkic,,Azerbaijani_language,
Baatonum,"Ba tɔmbu kpuro marawa ba
 tii mɔ, ba nɛ, girima ka saria sɔɔ. Ba ra bwisiku, ba dasabu mɔ, ma n 
weene ba n waasinɛ mɛrobisiru sɔɔ.",bba,BAATONUM,NC.BAATONUM,"Niger-Congo,Atlantic-Congo,Volta-Congo,North,Gur,Bariba","Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Gur,CentralGur,SouthernCentralGur}",2,10,2.05,1041000,brb,bba,BEN,Africa,Atlantic-Congo,,Baatonum_language,
Bali,"Sami manusane sane 
nyruwadi wantah merdeka tur maduwe kautamaan lan hak-hak sane pateh. 
Sami kalugrain papineh lan idep tur mangdane pada masawitra melarapan 
semangat pakulawargaan.",ban,BALI,An.MALAYO-SUMBAWAN,"Austronesian,Malayo-Polynesian,Bali-Sasak-Sumbawa","Austronesian,Malayo-Polynesian,Malayo-Sumbawan,NorthandEastMalayo-Sumbawan,Bali-Sasak-Sumbawa}",1,-8.33,115.25,3300000,bal,ban,IDN,Asia,Austronesian,,Bali_language,
Bamanankan,"Hadamaden bɛɛ danmakɛɲɛnen
 bɛ bange, danbe ni josira la. Hakili ni taasi b’u bɛɛ la, wa u ka kan 
ka badenɲasira de waleya u ni ɲɔgɔn cɛ.",bm,BAMBARA,Man.WESTERN_MANDE,"Niger-Congo,Mande,Western,Central-Southwestern,Central,Manding-Jogo,Manding-Vai,Manding-Mokole,Manding,Manding-East,NortheasternManding,Bamana","Mande,WesternMande,Manding-Kpelle,CentralMande,Manding-Jogo,Manding-Vai,Manding-Mokole,Manding,EastManding}",2,12.5,-7.5,4183340,bam,bam,MLI,Africa,Mande,,Bamanankan_language,
Banjar,"Sabarataan urang 
dilahirakan mardeka wan baisi martabat wan hak-hak nang sama. Buhannya 
dibarii akal wan hati nurani wan saharusnya bagaul satu wan nang lainnya
 dalam sumangat parsaudaraan.",bjn,,,,,,,,10000000,,,,Asia,Austronesian,y,Banjar_language,
Baoulé,"Sran mun be ngba, kɛ be 
wu be ɔ, be ngba be sɛ, fɔndi nun, sran-mmala nun. Be si akundanbu, be 
si su ɔ fata kɛ sran mun be tran'n, be tran aniaan nun tranlɛ.",bci,BAULE,NC.TANO,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Central,Bia,Northern","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,CentralTano,Bia,NorthernBia}",1,7,-5,4654060,ble,bci,CIV,Africa,Atlantic-Congo,,Baoulé_language,
Basque,"Gizon-emakume guztiak aske
 jaiotzen dira, duintasun eta eskubide berberak dituztela; eta ezaguera 
eta kontzientzia dutenez gero, elkarren artean senide legez jokatu 
beharra dute.",eu,BASQUE,Bas.BASQUE,Languageisolate_eus,Basque},3,43,-3,537860,bqb,eus,ESP,Europe,Basque,,Basque_language,
Belarusan,"Усе людзі нараджаюцца 
свабоднымі і роўнымі ў сваёй годнасці і правах. Яны надзелены розумам і 
сумленнем і павінны ставіцца адзін да аднаго ў духу брацтва.",be,BELARUSIAN,IE.SLAVIC,"Indo-European,Balto-Slavic,Slavic,East","Indo-European,ClassicalIndo-European,Balto-Slavic,Slavic,EastSlavic}",2,54,28,2637920,blr,bel,BLR,Europe,Indo-European,,Belarusan_language,
Bemba,"Abantu bonse bafyalwa 
abalubuka nokulingana mu mucinshi nensambu. Balikwata amano 
nokutontonkanya, eico bafwile ukulacita ifintu ku banabo mu mutima wa 
bwananyina.",bem,BEMBA,NC.BANTU,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,M,Bemba(M.42)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,Sabi,Malungu-CentralSabi,CentralSabi,Bemba(M.40)}",1,-10,30,4110000,bem,bem,ZMB,Africa,Atlantic-Congo,,Bemba_language,
Bengali,"সমস্ত মানুষ স্বাধীনভাবে 
সমান মর্যাদা এবং অধিকার নিয়ে জন্মগ্রহণ করে। তাঁদের বিবেক এবং বুদ্ধি 
আছে; সুতরাং সকলেরই একে অপরের প্রতি ভ্রাতৃত্বসুলভ মনোভাব নিয়ে আচরণ করা 
উচিত।",bn,BENGALI,IE.INDIC,"Indo-European,Indo-Iranian,Indo-Aryan,OuterLanguages,Eastern,Bengali-Assamese","Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Indo-AryanEasternzone,Oriya-Gauda-Kamrupa,Gauda-Kamrupa,Gauda-Banga}",1,24,90,228651040,ben,ben,BGD,Asia,Indo-European,,Bengali_language,
Bhojpuri,"सबहि लोकानि आजादे 
जम्मेला आओर ओखिनियो के बराबर सम्मान आओर अधिकार प्राप्त हवे। ओखिनियो के 
पास समझ-बूझ आओर अंत:करण के आवाज होखता आओर हुनको के दोसरा के साथ भाईचारा 
के बेवहार करे के होखला।",bho,BHOIPURI,IE.INDIC,"Indo-European,Indo-Iranian,Indo-Aryan,OuterLanguages,Eastern,Bihari","Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Bihari,Magadhan,Bhojpuric}",1,26,84,52303000,bho,bho,IND,Asia,Indo-European,,Bhojpuri_language,
"Bicolano, Central","An gabos na tawo 
ipinangaking may katalinkasan asin parantay sa dignidad asin derechos. 
Sinda gabos tinawan nin pag-isip asin conciencia kaya dapat na 
makipag-iriba sa lambang saro bilang mga magturugang.",bik,,,,,,,,2500000,,,,Asia,Austronesian,y,Central_Bikol,
Bora,"Pámeere ííñújɨri 
meíjcyame tsá múhójɨ́sɨ́ pañé ɨ́cubáhrádú meíjcyáítyuróne. Pámeere 
tsahdúré imí meíjcyame mewájyújcatsíñe mépɨ́áábójcatsíiyá tsaatéké 
éhdɨ́Ȉ́válletúmé éhne múu mépañétúéné nahbémuma meíjcyadu.",boa,BORA,Bra.BORAN,"Witotoan,Proto-Bora-Muinane",Boran},3,-2.17,-72.33,1350,bor,boa,COL,South America,Boran,,Bora_language,
Bosnian (Cyrillic),"Сва људска бића 
раћају се слободна и једнака у достојанству и правима. Она су обдарена 
разумом и свијешћу и треба да једно према другоме поступају у духу 
братства.",bs-Cyrl,BOSNIAN,IE.SLAVIC,"Indo-European,Balto-Slavic,Slavic,South,Western","Indo-European,ClassicalIndo-European,Balto-Slavic,Slavic,SouthSlavic,WesternSouthSlavic}",1,43,18,2713410,bos,bos,BIH,Europe,Indo-European,,Bosnian_language,
Bosnian (Latin),"Sva ljudska bića
 rađaju se slobodna i jednaka u dostojanstvu i pravima. Ona su obdarena 
razumom i sviješću i treba da jedno prema drugome postupaju u duhu 
bratstva.",bs-Latn,BOSNIAN,IE.SLAVIC,"Indo-European,Balto-Slavic,Slavic,South,Western","Indo-European,ClassicalIndo-European,Balto-Slavic,Slavic,SouthSlavic,WesternSouthSlavic}",1,43,18,2713410,bos,bos,BIH,Europe,Indo-European,,Bosnian_language,
Bugis,"Sininna rupa tau ri 
jajiangngi rilinoe nappunnai manengngi riasengnge alebbireng . Nappunai 
riasengnge akkaleng, nappunai riasengnge ati marennni na sibole bolena 
pada sipakatau pada massalasureng.",bug,BUGINESE,An.SOUTH_SULAWESI,"Austronesian,Malayo-Polynesian,SouthSulawesi,Bugis","Austronesian,Malayo-Polynesian,SouthSulawesi,Tamanic-Bugis,Bugis}",1,-4,120,3898800,bug,bug,IDN,Asia,Austronesian,,Bugis_language,
Bulgarian,"Всички хора се раждат 
свободни и равни по достойнство и права. Те са надарени с разум и съвест
 и следва да се отнасят помежду си в дух на братство.",bg,BULGARIAN,IE.SLAVIC,"Indo-European,Balto-Slavic,Slavic,South,Eastern","Indo-European,ClassicalIndo-European,Balto-Slavic,Slavic,SouthSlavic,EasternSouthSlavic,Macedo-Bulgarian}",1,42.5,25,8252430,bul,bul,BGR,Europe,Indo-European,,Bulgarian_language,
Bulu,"Abiali bod bese, tege ai
 sesala, bene etie dzia a mis memvende y'enyiñ, dzom dzia etu fili 
nkóbó, fili ntsogan, fili mboan. Ve abiali te, mod ose ayem dze ene abe,
 dze ene mbeñ asu e mod mbog antoa ai mfi na enyiñ ewulu mezen mene 
sosoo.",bum,BULU,NC.BANTU,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Ewondo-Fang(A.74)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Basaa-Yaunde(A40-70),Yaunde-Fang(A.70)}",1,3,11,1658000,buw,bum,CMR,Africa,Atlantic-Congo,,Bulu_language,
Burmese,"လူတိုင်းသည် တူညီ 
လွတ်လပ်သော ဂုဏ်သိက္ခာဖြင့် လည်းကောင်း၊ တူညီလွတ်လပ်သော 
အခွင့်အရေးများဖြင့် လည်းကောင်း၊ မွေးဖွားလာသူများ ဖြစ်သည်။ ထိုသူတို့၌ 
ပိုင်းခြား ဝေဖန်တတ်သော ဉာဏ်နှင့် ကျင့်ဝတ် သိတတ်သော စိတ်တို့ရှိကြ၍ 
ထိုသူတို့သည် အချင်းချင်း မေတ္တာထား၍ ဆက်ဆံကျင့်သုံးသင့်၏။",my,BURMESE,ST.BURMESE-LOLO,"Sino-Tibetan,Tibeto-Burman,Ngwi-Burmese,Burmish,Southern","Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Burmish,SouthernBurmish,Mranmaic,NuclearMranmaic}",1,21,96,32954860,brm,mya,MMR,Asia,Sino-Tibetan,,Burmese_language,
Candoshi-Shapra,"Iy tpotsini ichigoroni 
kis tamam zadkini, vatam tpotsiniva. Vatam ichigoroni magini tarova; 
ashiriya chinakaniya. Ashirocha, zovalliatsich tamaparia-ashiros sanpata
 chinagtsa atiniya.",cbu,CANDOSHI,Cnd.CANDOSHI,Languageisolate_cbu,Candoshi-Shapra},3,-4.17,-77,3260,can,cbu,PER,South America,Candoshi-Shapra,,Candoshi-Shapra_language,
Catalan,"Tots els éssers humans 
neixen lliures i iguals en dignitat i en drets. Són dotats de raó i de 
consciència, i han de comportar-se fraternalment els uns amb els altres.",ca,BALEAR_CATALAN,IE.ROMANCE,"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,EastIberian","Indo-European,ClassicalIndo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,SouthwesternShiftedRomance}",1,39.57,2.65,4077310,ctl,cat,,Europe,Indo-European,,Catalan_language,
Cebuano,"Ang tanang katawhan 
gipakatawo nga may kagawasan ug managsama sa kabililhon. Sila gigasahan 
sa salabutan ug tanlag og mag-ilhanay isip managsoon sa usa'g-usa diha 
sa diwa sa ospiritu.",ceb,CEBUANO,An.GREATER_CENTRAL_PHILIPPINE,"Austronesian,Malayo-Polynesian,GreaterCentralPhilippine,CentralPhilippine,Bisayan,Cebuan","Austronesian,Malayo-Polynesian,GreaterCentralPhilippine,CentralPhilippine,Bisayan}",1,10,124,15942480,ceb,ceb,,Asia,Austronesian,,Cebuano_language,
Chayahuita,"Ya'ipi piyapinpoa' 
capini noya ninosorocaso' ya'huërin. Ya'ipinpoa' yonquirëhua'. Noya 
nicacaso' nitotërëhua'. Napoaton iyanpoa pochin ninosorocaso' ya 
'huërin.",cbt,CHAYAHUITA,Cah.CAHUAPANAN,Cahuapanan,Cahuapanan},3,-5.5,-77,14000,chy,cbt,PER,South America,Cahuapanan,,Chayahuita_language,
Cherokee,"Ꮒꭶꮣ ꭰꮒᏼꮻ ꭴꮎꮥꮕꭲ ꭴꮎꮪꮣꮄꮣ ꭰꮄ
 ꭱꮷꮃꭽꮙ ꮎꭲ ꭰꮲꮙꮩꮧ ꭰꮄ ꭴꮒꮂ ꭲᏻꮎꮫꮧꭲ. Ꮎꮝꭹꮎꮓ ꭴꮅꮝꭺꮈꮤꮕꭹ ꭴꮰꮿꮝꮧ ꮕᏸꮅꮫꭹ ꭰꮄ ꭰꮣꮕꮦꮯꮣꮝꮧ ꭰꮄ
 ꭱꮅꮝꮧ ꮟᏼꮻꭽ ꮒꮪꮎꮣꮫꮎꮥꭼꭹ ꮎ ꮧꮎꮣꮕꮯ ꭰꮣꮕꮩ ꭼꮧ.",chr,CHEROKEE,Iro.SOUTHERN_IROQUOIAN,Iroquoian,Iroquoian},2,35.5,-83.5,1520,che,chr,USA,North America,Iroquoian,,Cherokee_language,
Chickasaw,"Himmaka' nittakookano 
hattak yokasht toksalicha'nikat ki'yo. Hattak mó̱makat ittíllawwi 
bíyyi'kacha nanna mó̱maka̱ ittibaachaffa'hitok.",cic,CHICKASAW,Mus.MUSKOGEAN,"Muskogean,WesternMuskogean","Muskogean,WesternMuskogean}",1,34,-88,75,cck,cic,USA,North America,Muskogean,,Chickasaw_language,
"Chinantec, Ojitlán","La juu dsa lu siä –Dsa kö ñi ba dsa, nía kö ni' ba na lu' dsa e dsa tï é li jnia' roö'.",chj,,,,,,,,38000,,,,North America,Oto-Manguean,y,Chinantec_of_Ojitlan,
"Chinese, Gan",人人生而自由，在志向跟权利上一律平等。渠们赋有理性跟良心，并理当以弟兄义气相对待。,gan,,,,,,,,23000000,,,,Asia,Sino-Tibetan,y,Gan_Chinese,
"Chinese, Hakka",人人生而自由，在尊严同权利上一律平等。佢丁人赋有理性同好心田，并应以兄弟关系个精神相对待。,hak,HAKKA,ST.CHINESE,"Sino-Tibetan,Chinese","Sino-Tibetan,Sinitic,Classical-Middle-ModernSinitic,Middle-ModernSinitic}",1,25,116,43813240,hak,hak,CHN,Asia,Sino-Tibetan,,Hakka_Chinese,
"Chinese, Jinyu",人人生而自由，在尊严和权利上一律平等。他们赋有理性和良心，并应以弟兄关系的精神相对待。,cjy,,,,,,,,48000000,,,,Asia,Sino-Tibetan,y,Jin_Chinese,
"Chinese, Mandarin (Simplified)","人人生而自由,在尊严和权利上一律平等。他们赋有理性和良心,并应以兄弟关系的精神相对待。",zh,,,,,,,,1000000000,,,,Asia,Sino-Tibetan,y,Mandarin_Chinese,
"Chinese, Mandarin (Traditional)",人人生而自由，在尊嚴和權利上一律平等。他們賦有理性和良心，並應以兄弟關係的精神相對待。,zh-Hant,,,,,,,,1000000000,,,,Asia,Sino-Tibetan,y,Mandarin_Chinese,
"Chinese, Min Nan",人人生而自由，在尊严合权利上一律平等。因赋有脾胃合道行，并着以兄弟关系的精神相对待。,nan,DONGSHAN_CHINESE,ST.CHINESE,"Sino-Tibetan,Chinese","Sino-Tibetan,Sinitic,Min,CoastalMin}",1,23.7,117.42,48447990,hok,nan,,Asia,Sino-Tibetan,,Southern_Min,
"Chinese, Wu",人人生而自由，拉尊严脱仔权利上一律平等。伊拉有理性脱仔良心，并应以兄弟关系个精神相对待。,wuu,SUZHOU_WU,ST.CHINESE,"Sino-Tibetan,Chinese","Sino-Tibetan,Sinitic,Classical-Middle-ModernSinitic,Middle-ModernSinitic,Wu-HuiChinese}",1,31.3,120.6,81748790,wuc,wuu,CHN,Asia,Sino-Tibetan,,Wu_Chinese,
"Chinese, Xiang",人人生而自由，在尊严和权利上一律平等。他们赋有理性和良心，在得以兄弟关系的精神相对待。,hsn,,,,,,,,38000000,,,,Asia,Sino-Tibetan,y,Xiang_Chinese,
"Chinese, Yue",人人生而平等，喺尊严同埋权利上一律平等。佢哋有理性同埋良心，而且应当以兄弟关系嘅精神相对待。,yue,CANTONESE,ST.CHINESE,"Sino-Tibetan,Chinese","Sino-Tibetan,Sinitic,Classical-Middle-ModernSinitic,Middle-ModernSinitic,Yue-Pinghua}",1,23,113,84891570,cnt,yue,CHN,Asia,Sino-Tibetan,,Yue_Chinese,
Chokwe,"Mwese yoze masemuka 
katela ukulungunga ulengunga ulemu nyi vumbi eswe ci mwikha. Eswe 
kalingile kupwa nyi usambe nyi mangana nyi kuhasa kulimika nyumwe nyi 
mukwo nyi kulita nyi mbunge ya ulemu wa utu.",cjk,CHOKWE,NC.BANTU,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,K,Ciokwe-Luchazi(K.11)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,Njila,SouthernNjila,Chokwe-Lunda,Chokwe-Ngangela-Nyemba(K.20),Chokwe-Lwena}",1,-6.67,20,2491700,cjk,,COD,Africa,Atlantic-Congo,,Chokwe_language,
Chokwe (Angola),"Athu eswe kakusemuka 
ngwe akwo, ku vumbi nyi hakusakula.Kali nyi mana,mba mahasa kulinga umwu
 hali mukwo nyi espiritu ya kuli kuasa.",cjk,CHOKWE,NC.BANTU,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,K,Ciokwe-Luchazi(K.11)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,Njila,SouthernNjila,Chokwe-Lunda,Chokwe-Ngangela-Nyemba(K.20),Chokwe-Lwena}",1,-6.67,20,2491700,cjk,,COD,Africa,Atlantic-Congo,,Chokwe_language,
Chuvash,"Пур халӑх та уйрӑм пурӑнма
 пӗр тан праваллӑ. Ҫак правапа усӑ курса вӗсем хӑйсен политика статусне 
ирӗклӗн туса хураҫҫӗ, экономика, общество тата культура енӗпе ирӗклӗн 
аталанаҫҫӗ. Патшалӑхсен ҫак правӑна хисеплемелле, территори пӗр 
пӗтӗмлӗхӗн принципӗ унпа усӑ курма пӗр енлӗн чарса тӑракан чӑрмав 
пулмалла мар.",cv,CHUVASH,Alt.TURKIC,"Turkic,Bolgar","Turkic,Bolgar}",1,55.5,47.5,1079650,chv,chv,RUS,Europe,Turkic,,Chuvash_language,
Croatian,"Sva ljudska bića rađaju se
 slobodna i jednaka u dostojanstvu i pravima. Ona su obdarena razumom i 
sviješću i treba da jedno prema drugome postupaju u duhu bratstva.",hr,CROATIAN,IE.SLAVIC,"Indo-European,Balto-Slavic,Slavic,South,Western","Indo-European,ClassicalIndo-European,Balto-Slavic,Slavic,SouthSlavic,WesternSouthSlavic}",1,45.82,15.98,5488390,scr,hrv,HRV,Europe,Indo-European,,Croatian_language,
Czech,"Všichni lidé rodí se 
svobodní a sobě rovní co do důstojnosti a práv. Jsou nadáni rozumem a 
svědomím a mají spolu jednat v duchu bratrství.",cs,CZECH,IE.SLAVIC,"Indo-European,Balto-Slavic,Slavic,West,Czech-Slovak","Indo-European,ClassicalIndo-European,Balto-Slavic,Slavic,WestSlavic,Czech-Slovak,Czech-Lach}",1,50,15,10715880,cze,ces,CZE,Europe,Indo-European,,Czech_language,
